Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
IBMFNIFTY,EQ,08-May-19,117.45,140,140,140,140,140,140,2,280,1,2,100
IBMFNIFTY,EQ,09-May-19,140,118,135,112,112,112,112.34,6311,708986.25,105,3402,53.91
IBMFNIFTY,EQ,10-May-19,112,112.8,113.85,100.58,107.25,107.25,108.22,597,64606.69,20,369,61.81
IBMFNIFTY,EQ,13-May-19,107.25,107.25,112,105.35,105.55,105.55,106.65,1226,130755.57,44,1084,88.42
IBMFNIFTY,EQ,14-May-19,105.55,111,111,100.58,107.96,107.84,104.97,1468,154100.39,57,960,65.4
IBMFNIFTY,EQ,15-May-19,107.84,108,110,102.56,106.1,106.1,105.45,2012,212163.43,61,1270,63.12
IBMFNIFTY,EQ,16-May-19,106.1,109,112.99,105.01,107,107.58,107.22,2143,229773.69,81,1534,71.58
IBMFNIFTY,EQ,17-May-19,107.58,108,109.8,106.51,109.8,108.72,108.4,1991,215815.72,50,1517,76.19
IBMFNIFTY,EQ,20-May-19,108.72,110,115.97,108.5,112.5,112.48,111.09,2142,237960.94,62,1045,48.79
IBMFNIFTY,EQ,21-May-19,112.48,108,111.35,107.02,110,109.2,109.29,5400,590161.53,76,3501,64.83
IBMFNIFTY,EQ,22-May-19,109.2,111,117.5,109.59,117,116.86,116.16,14972,1739179.87,128,10350,69.13
IBMFNIFTY,EQ,23-May-19,116.86,117,118,113.35,113.35,114.09,116.87,5632,658232.75,93,2749,48.81
IBMFNIFTY,EQ,24-May-19,114.09,114.56,118,114.35,117,117.41,116.66,5979,697523.02,59,2080,34.79
IBMFNIFTY,EQ,27-May-19,117.41,117,118.7,115.55,117.5,116.47,117.12,4385,513570.17,72,1628,37.13
IBMFNIFTY,EQ,28-May-19,116.47,117.5,118.95,116,116.55,116.55,118.09,3337,394065.51,51,2073,62.12
IBMFNIFTY,EQ,29-May-19,116.55,116,118.75,116,117,117,117.99,3226,380630.43,33,1285,39.83
IBMFNIFTY,EQ,30-May-19,117,117.99,119.95,116.1,118,117.25,118.28,3402,402404.84,56,1484,43.62
IBMFNIFTY,EQ,31-May-19,117.25,119,119.95,115.1,118.95,118.07,118.85,4434,526995.99,48,1720,38.79
IBMFNIFTY,EQ,03-Jun-19,118.07,115.08,121,115.08,120,119.95,119.72,7695,921236.79,120,3535,45.94
IBMFNIFTY,EQ,04-Jun-19,119.95,119,120.25,118,118.5,118.5,119.33,5078,605969.13,75,2296,45.21
IBMFNIFTY,EQ,06-Jun-19,118.5,119,119,117.1,117.2,117.2,118.26,3211,379739.65,28,1256,39.12
IBMFNIFTY,EQ,07-Jun-19,117.2,116.54,118.5,116.54,118.5,118.5,117.76,1190,140138.82,14,490,41.18
IBMFNIFTY,EQ,10-Jun-19,118.5,118,119.5,117.01,117.4,117.35,118.2,2936,347027.85,48,823,28.03
IBMFNIFTY,EQ,11-Jun-19,117.35,118,119.7,116.6,118,118,118.58,2755,326678.17,42,874,31.72
IBMFNIFTY,EQ,12-Jun-19,118,117.04,119.7,117.01,117.3,117.3,118.15,3064,362015.56,39,1123,36.65
IBMFNIFTY,EQ,13-Jun-19,117.3,117.2,118.7,117.01,118.5,118.25,118,3158,372644.16,46,1162,36.8
IBMFNIFTY,EQ,14-Jun-19,118.25,119,119,116.96,119,118.81,117.44,1196,140455.9,57,1002,83.78
IBMFNIFTY,EQ,17-Jun-19,118.81,118.81,118.81,115,116.25,116.25,116.26,1798,209032.3,50,509,28.31
