"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"TATAMOTORS","EQ","16-Aug-2018","        248.80","        245.80","        252.80","        245.25","        251.80","        251.30","        250.19","   14148347","          3539734481.95","      72491","    7286849","         51.50"
"TATAMOTORS","EQ","17-Aug-2018","        251.30","        253.70","        260.10","        253.00","        259.05","        258.25","        256.76","   16117660","          4138434027.45","      93097","    8948902","         55.52"
"TATAMOTORS","EQ","20-Aug-2018","        258.25","        261.85","        271.85","        259.20","        270.55","        270.10","        267.63","   25576718","          6845119619.35","     240049","    8802180","         34.41"
"TATAMOTORS","EQ","21-Aug-2018","        270.10","        271.85","        274.70","        266.70","        268.50","        268.80","        271.73","   19505584","          5300172762.70","     222999","    4646975","         23.82"
"TATAMOTORS","EQ","23-Aug-2018","        268.80","        269.20","        269.20","        256.00","        256.55","        256.90","        260.16","   18667622","          4856478809.80","     249176","    6737313","         36.09"
"TATAMOTORS","EQ","24-Aug-2018","        256.90","        257.00","        258.65","        255.00","        255.15","        255.50","        256.79","    8703468","          2234991162.00","      71872","    2198360","         25.26"
"TATAMOTORS","EQ","27-Aug-2018","        255.50","        257.00","        259.50","        256.50","        259.20","        258.80","        258.25","    6127707","          1582459587.70","      66022","    2207367","         36.02"
"TATAMOTORS","EQ","28-Aug-2018","        258.80","        261.70","        263.25","        259.05","        259.80","        260.00","        261.14","    8506857","          2221455469.80","      89370","    2374362","         27.91"
"TATAMOTORS","EQ","29-Aug-2018","        260.00","        261.05","        263.50","        261.00","        261.90","        261.70","        262.36","    5117552","          1342656977.45","      55817","    1806369","         35.30"
"TATAMOTORS","EQ","30-Aug-2018","        261.70","        262.30","        263.00","        259.00","        259.90","        259.35","        260.38","    6333570","          1649137025.15","      46799","    2952101","         46.61"
"TATAMOTORS","EQ","31-Aug-2018","        259.35","        259.10","        268.25","        258.10","        266.95","        267.50","        264.41","   12360078","          3268116233.80","      99108","    4035301","         32.65"
"TATAMOTORS","EQ","03-Sep-2018","        267.50","        271.40","        273.00","        265.25","        266.65","        266.60","        269.20","   14597832","          3929742460.40","     118115","    4061447","         27.82"
"TATAMOTORS","EQ","04-Sep-2018","        266.60","        270.50","        270.80","        260.35","        261.40","        261.95","        265.69","   14775900","          3925749320.00","     117155","    5961786","         40.35"
"TATAMOTORS","EQ","05-Sep-2018","        261.95","        261.00","        271.00","        255.40","        268.75","        266.50","        262.00","   10084307","          2642088211.30","      86534","    2633729","         26.12"
"TATAMOTORS","EQ","06-Sep-2018","        266.50","        269.70","        272.00","        263.85","        268.65","        269.95","        268.39","   14736214","          3955112115.35","     103471","    3422814","         23.23"
"TATAMOTORS","EQ","07-Sep-2018","        269.95","        269.55","        279.90","        269.25","        277.05","        277.40","        276.39","   26189156","          7238338281.25","     189486","    6791817","         25.93"
"TATAMOTORS","EQ","10-Sep-2018","        277.40","        276.00","        282.00","        271.75","        274.40","        275.70","        277.42","   21322969","          5915344895.40","     156900","    4944162","         23.19"
"TATAMOTORS","EQ","11-Sep-2018","        275.70","        277.25","        278.85","        265.70","        266.75","        267.30","        272.84","   13444031","          3668114438.20","      99917","    3248158","         24.16"
"TATAMOTORS","EQ","12-Sep-2018","        267.30","        268.20","        268.20","        258.85","        261.75","        262.40","        262.05","   14456273","          3788295435.45","     110943","    4944207","         34.20"
"TATAMOTORS","EQ","14-Sep-2018","        262.40","        265.00","        269.60","        263.40","        266.10","        266.60","        266.66","   10710620","          2856089710.65","      78605","    3282249","         30.64"
"TATAMOTORS","EQ","17-Sep-2018","        266.60","        263.35","        264.10","        259.65","        259.85","        260.25","        262.12","    9461420","          2480074282.95","      98336","    3426630","         36.22"
"TATAMOTORS","EQ","18-Sep-2018","        260.25","        257.75","        259.80","        250.60","        251.25","        251.50","        255.40","   11554420","          2951044778.45","     103016","    3541914","         30.65"
"TATAMOTORS","EQ","19-Sep-2018","        251.50","        253.55","        255.00","        251.00","        252.75","        252.60","        253.10","    7845650","          1985767806.60","      76689","    2195053","         27.98"
