"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"TATASTEEL","E1","16-Aug-2018","        140.10","        135.00","        138.00","        130.00","        131.90","        131.90","        133.62","     240627","            32151739.15","       1757","     138328","         57.49"
"TATASTEEL","EQ","16-Aug-2018","        578.95","        570.00","        576.70","        563.25","        567.60","        567.55","        571.01","    7907171","          4515071487.10","      94747","    1879732","         23.77"
"TATASTEEL","E1","17-Aug-2018","        131.90","        135.00","        144.80","        135.00","        141.45","        140.95","        141.27","     349237","            49336204.60","       2161","     156892","         44.92"
"TATASTEEL","EQ","17-Aug-2018","        567.55","        571.95","        585.20","        571.80","        580.70","        580.15","        581.26","    8743214","          5082079438.75","     142235","    1818249","         20.80"
"TATASTEEL","E1","20-Aug-2018","        140.95","        146.20","        155.00","        141.00","        155.00","        154.95","        150.64","     595656","            89730084.05","       4308","     267149","         44.85"
"TATASTEEL","EQ","20-Aug-2018","        580.15","        583.00","        601.80","        582.90","        600.20","        599.40","        594.00","   11662318","          6927421592.35","     151435","    2978823","         25.54"
"TATASTEEL","E1","21-Aug-2018","        154.95","        159.25","        159.40","        141.00","        142.50","        141.85","        148.21","     392931","            58236651.80","       2696","     136577","         34.76"
"TATASTEEL","EQ","21-Aug-2018","        599.40","        602.25","        602.45","        580.55","        584.00","        582.15","        588.95","   10873707","          6404072760.90","     120678","    2050030","         18.85"
"TATASTEEL","E1","23-Aug-2018","        141.85","        141.85","        146.00","        130.80","        132.15","        132.25","        135.32","     262746","            35554783.20","       2235","     148371","         56.47"
"TATASTEEL","EQ","23-Aug-2018","        582.15","        584.90","        584.90","        570.15","        572.55","        571.65","        575.04","    6676830","          3839454728.35","      98660","    1445371","         21.65"
"TATASTEEL","E1","24-Aug-2018","        132.25","        132.25","        137.90","        129.70","        134.00","        134.60","        134.65","     432017","            58170932.00","       2180","     172098","         39.84"
"TATASTEEL","EQ","24-Aug-2018","        571.65","        570.35","        579.35","        568.25","        575.30","        575.60","        575.27","    6060269","          3486309022.75","      77874","     902164","         14.89"
"TATASTEEL","E1","27-Aug-2018","        134.60","        138.00","        143.30","        136.80","        138.00","        138.95","        140.64","     240286","            33792847.70","       1647","      84040","         34.97"
"TATASTEEL","EQ","27-Aug-2018","        575.60","        581.90","        587.00","        579.00","        579.35","        581.20","        583.44","    5391946","          3145880976.15","      65603","     995091","         18.46"
"TATASTEEL","E1","28-Aug-2018","        138.95","        140.30","        148.25","        136.50","        144.65","        145.20","        143.18","     382245","            54731695.35","       2823","     110192","         28.83"
"TATASTEEL","EQ","28-Aug-2018","        581.20","        582.50","        593.90","        578.10","        589.65","        590.35","        587.37","    9021297","          5298799549.80","     101604","    2204347","         24.43"
"TATASTEEL","E1","29-Aug-2018","        145.20","        143.80","        156.05","        142.70","        148.80","        149.80","        151.39","     533122","            80709765.80","       3753","     142754","         26.78"
"TATASTEEL","EQ","29-Aug-2018","        590.35","        590.30","        601.85","        585.55","        593.35","        594.20","        595.27","    9885532","          5884575992.85","     125778","    2498414","         25.27"
"TATASTEEL","E1","30-Aug-2018","        149.80","        147.00","        163.15","        145.00","        162.00","        160.55","        159.19","     876108","           139467410.30","       4645","     377981","         43.14"
"TATASTEEL","EQ","30-Aug-2018","        594.20","        592.30","        610.00","        591.05","        608.30","        608.35","        605.23","   10283657","          6223997856.20","     121761","    1319743","         12.83"
"TATASTEEL","E1","31-Aug-2018","        160.55","        161.00","        168.50","        155.00","        156.30","        156.95","        161.38","     327611","            52870631.95","       2354","      81310","         24.82"
"TATASTEEL","EQ","31-Aug-2018","        608.35","        608.20","        614.50","        599.10","        600.40","        600.50","        605.74","    8633354","          5229580414.80","     131454","    1799756","         20.85"
"TATASTEEL","E1","03-Sep-2018","        156.95","        158.00","        162.90","        153.00","        154.20","        154.25","        158.74","     468369","            74347293.65","       2270","     175769","         37.53"
"TATASTEEL","EQ","03-Sep-2018","        600.50","        603.00","        609.95","        598.00","        598.55","        600.75","        605.11","    5479133","          3315460876.55","      68186","     772777","         14.10"
"TATASTEEL","E1","04-Sep-2018","        154.25","        155.85","        158.50","        145.60","        146.00","        146.35","        150.63","     381351","            57443798.15","       2478","     100507","         26.36"
"TATASTEEL","EQ","04-Sep-2018","        600.75","        600.90","        604.50","        590.60","        591.95","        593.05","        596.28","    6099572","          3637022488.30","      95317","     834312","         13.68"
"TATASTEEL","E1","05-Sep-2018","        146.35","        144.10","        147.85","        136.00","        144.70","        145.15","        143.44","     756150","           108462847.60","       3302","     364314","         48.18"
"TATASTEEL","EQ","05-Sep-2018","        593.05","        590.00","        597.00","        581.20","        596.90","        594.40","        589.87","    5791157","          3416017469.70","      81814","     743829","         12.84"
"TATASTEEL","E1","06-Sep-2018","        145.15","        147.20","        156.20","        145.55","        151.00","        151.60","        152.25","     416131","            63357901.20","       2652","     139475","         33.52"
"TATASTEEL","EQ","06-Sep-2018","        594.40","        598.00","        607.80","        594.50","        599.25","        600.30","        602.28","    6689716","          4029086977.90","      82356","     744931","         11.14"
"TATASTEEL","E1","07-Sep-2018","        151.60","        151.50","        166.75","        149.00","        165.90","        166.35","        161.13","     813973","           131158422.65","       4176","     274539","         33.73"
"TATASTEEL","EQ","07-Sep-2018","        600.30","        602.30","        622.00","        597.05","        616.00","        619.15","        612.41","    9445836","          5784699814.35","     117345","    1610656","         17.05"
"TATASTEEL","E1","10-Sep-2018","        166.35","        166.35","        172.50","        159.65","        162.00","        162.25","        164.93","     185383","            30574358.30","       1711","      63253","         34.12"
"TATASTEEL","EQ","10-Sep-2018","        619.15","        619.95","        625.00","        611.25","        613.70","        613.65","        617.13","    6284258","          3878183687.80","      91324","     723809","         11.52"
"TATASTEEL","E1","11-Sep-2018","        162.25","        164.00","        167.00","        146.05","        146.05","        146.05","        153.64","     368390","            56600396.80","       2941","     181668","         49.31"
"TATASTEEL","EQ","11-Sep-2018","        613.65","        615.35","        617.00","        588.35","        589.45","        592.10","        604.28","    8111172","          4901386963.10","     126094","    2239093","         27.61"
"TATASTEEL","E1","12-Sep-2018","        146.05","        146.00","        156.90","        136.50","        155.90","        154.00","        147.07","     756645","           111276775.60","       4394","      79309","         10.48"
"TATASTEEL","EQ","12-Sep-2018","        592.10","        592.50","        607.20","        583.10","        605.20","        605.55","        594.46","    8566384","          5092355658.95","     110176","    1285939","         15.01"
"TATASTEEL","E1","14-Sep-2018","        154.00","        159.60","        167.50","        157.00","        163.00","        163.80","        163.70","     458738","            75093598.15","       3114","     146824","         32.01"
"TATASTEEL","EQ","14-Sep-2018","        605.55","        611.60","        620.50","        610.00","        613.95","        615.00","        616.21","    7975559","          4914609664.45","      98058","    1695001","         21.25"
"TATASTEEL","E1","17-Sep-2018","        163.80","        158.50","        171.80","        156.00","        164.05","        164.40","        166.20","     441801","            73425131.90","       2992","     114084","         25.82"
"TATASTEEL","EQ","17-Sep-2018","        615.00","        610.00","        624.40","        605.55","        616.25","        616.40","        616.96","    7183891","          4432155150.20","      89988","     853863","         11.89"
"TATASTEEL","E1","18-Sep-2018","        164.40","        164.70","        171.90","        152.00","        162.10","        160.75","        165.24","     377743","            62419997.10","       2559","      49076","         12.99"
"TATASTEEL","EQ","18-Sep-2018","        616.40","        618.00","        624.55","        609.30","        614.60","        612.75","        617.12","    7828063","          4830850181.60","      84759","    2021839","         25.83"
"TATASTEEL","E1","19-Sep-2018","        160.75","        164.40","        176.80","        162.80","        168.00","        167.75","        171.55","     876742","           150402368.60","       4806","     304358","         34.71"
"TATASTEEL","EQ","19-Sep-2018","        612.75","        618.00","        630.80","        617.40","        621.80","        621.20","        624.56","   10134627","          6329645711.20","     132732","    1563797","         15.43"
"TATASTEEL","E1","21-Sep-2018","        167.75","        173.70","        183.10","        151.00","        161.15","        163.35","        171.57","    2820508","           483912577.50","       8158","    1608511","         57.03"
"TATASTEEL","EQ","21-Sep-2018","        621.20","        630.00","        647.60","        584.30","        622.00","        625.15","        628.08","   22977379","         14431639493.40","     257834","    8280960","         36.04"
"TATASTEEL","E1","24-Sep-2018","        163.35","        159.00","        167.80","        147.05","        147.05","        147.90","        152.79","     693294","           105930890.95","       3858","     184974","         26.68"
"TATASTEEL","EQ","24-Sep-2018","        625.15","        618.90","        626.25","        595.65","        607.45","        607.70","        611.45","   11242914","          6874487322.30","     133061","    2364772","         21.03"
"TATASTEEL","E1","25-Sep-2018","        147.90","        148.00","        148.00","        133.15","        143.00","        141.70","        136.79","     829040","           113403442.55","       5435","     227504","         27.44"
"TATASTEEL","EQ","25-Sep-2018","        607.70","        609.00","        609.00","        575.00","        601.75","        601.00","        593.66","   10985624","          6521755736.20","     121806","    2249759","         20.48"
"TATASTEEL","E1","26-Sep-2018","        141.70","        148.00","        153.90","        137.00","        151.00","        150.85","        147.57","     849510","           125362299.95","       5434","     193687","         22.80"
"TATASTEEL","EQ","26-Sep-2018","        601.00","        605.00","        614.15","        598.00","        608.05","        608.90","        607.63","    8647720","          5254611667.30","      95354","    1388721","         16.06"
"TATASTEEL","E1","27-Sep-2018","        150.85","        154.70","        158.70","        147.50","        150.00","        151.50","        154.39","     728029","           112402049.85","       4127","     245828","         33.77"
"TATASTEEL","EQ","27-Sep-2018","        608.90","        611.20","        620.75","        607.40","        609.65","        611.55","        615.03","    8239542","          5067557687.05","      98741","    2201998","         26.72"
"TATASTEEL","E1","28-Sep-2018","        151.50","        153.00","        153.00","        136.35","        136.35","        136.35","        137.91","     685453","            94528583.85","       2952","     423482","         61.78"
"TATASTEEL","EQ","28-Sep-2018","        611.55","        612.00","        612.00","        575.00","        579.80","        581.25","        586.23","   13027007","          7636819435.85","     167179","    4136970","         31.76"
"TATASTEEL","E1","01-Oct-2018","        136.35","        126.00","        134.40","        122.75","        127.55","        128.30","        124.36","     602504","            74927814.15","       2870","     206784","         34.32"
"TATASTEEL","EQ","01-Oct-2018","        581.25","        580.00","        585.80","        557.50","        582.00","        583.20","        573.28","    6972949","          3997452283.75","      97580","     689340","          9.89"
"TATASTEEL","E1","03-Oct-2018","        128.30","        129.00","        135.40","        121.20","        121.65","        122.25","        129.26","     675406","            87300230.45","       5862","     206070","         30.51"
"TATASTEEL","EQ","03-Oct-2018","        583.20","        584.00","        594.40","        576.20","        578.50","        579.60","        587.62","    7217063","          4240910955.20","     138820","    1817325","         25.18"
"TATASTEEL","E1","04-Oct-2018","        122.25","        120.70","        129.00","        115.50","        122.95","        124.25","        124.24","     764010","            94921239.15","       6512","     139462","         18.25"
"TATASTEEL","EQ","04-Oct-2018","        579.60","        576.75","        587.75","        570.00","        579.85","        582.30","        581.35","    7629840","          4435636380.90","     108885","    1418611","         18.59"
"TATASTEEL","E1","05-Oct-2018","        124.25","        123.45","        128.00","        111.85","        111.85","        112.50","        116.80","    1061756","           124011664.10","       6687","     327607","         30.86"
"TATASTEEL","EQ","05-Oct-2018","        582.30","        580.00","        586.00","        562.30","        564.95","        568.00","        573.64","    7868967","          4513967477.90","     115316","    1824662","         23.19"
"TATASTEEL","E1","08-Oct-2018","        112.50","        115.00","        115.00","        101.25","        110.50","        108.10","        105.00","    1849429","           194187849.80","       8206","     547761","         29.62"
"TATASTEEL","EQ","08-Oct-2018","        568.00","        567.00","        569.95","        544.00","        564.00","        559.80","        556.49","    9171048","          5103555391.80","     122812","    1123033","         12.25"
"TATASTEEL","E1","09-Oct-2018","        108.10","        110.00","        118.90","        102.75","        114.80","        116.25","        112.77","    1106950","           124826280.65","       6643","     170876","         15.44"
"TATASTEEL","EQ","09-Oct-2018","        559.80","        560.00","        583.90","        554.55","        571.30","        572.50","        568.36","    7734434","          4395974798.25","     102010","     661757","          8.56"
"TATASTEEL","E1","10-Oct-2018","        116.25","        116.70","        127.85","        116.50","        124.00","        126.10","        123.98","     983266","           121902254.80","       5961","     146756","         14.93"
"TATASTEEL","EQ","10-Oct-2018","        572.50","        573.15","        587.80","        573.15","        579.50","        583.65","        581.37","    7153314","          4158741772.60","      91789","    2211459","         30.92"
"TATASTEEL","E1","11-Oct-2018","        126.10","        113.55","        113.55","        113.50","        113.50","        113.50","        113.50","     108736","            12341636.00","        629","     108731","        100.00"
"TATASTEEL","EQ","11-Oct-2018","        583.65","        557.00","        564.00","        549.05","        554.50","        555.15","        555.78","   10401643","          5780998166.00","     163204","    2164014","         20.80"
"TATASTEEL","E1","12-Oct-2018","        113.50","        113.50","        120.50","        107.00","        120.00","        118.75","        115.19","     817824","            94204032.45","       4793","     175284","         21.43"
"TATASTEEL","EQ","12-Oct-2018","        555.15","        560.80","        578.80","        558.10","        578.50","        576.50","        570.50","    5733407","          3270887737.15","      83588","    1178256","         20.55"
"TATASTEEL","E1","15-Oct-2018","        118.75","        124.40","        124.40","        112.40","        115.00","        115.45","        116.80","     589463","            68846529.30","       4322","     200016","         33.93"
"TATASTEEL","EQ","15-Oct-2018","        576.50","        578.25","        579.45","        566.50","        569.75","        570.00","        571.96","    4100183","          2345137822.05","      72795","     783197","         19.10"
"TATASTEEL","E1","16-Oct-2018","        115.45","        116.50","        126.60","        114.00","        116.10","        117.70","        121.32","     652350","            79140462.75","       4603","     144785","         22.19"
"TATASTEEL","EQ","16-Oct-2018","        570.00","        571.10","        584.00","        569.60","        570.75","        572.80","        576.44","    5660568","          3262975297.85","      68578","    1553714","         27.45"
"TATASTEEL","E1","17-Oct-2018","        117.70","        119.80","        123.00","        105.95","        105.95","        105.95","        111.95","     747736","            83710710.65","       5212","     380774","         50.92"
"TATASTEEL","EQ","17-Oct-2018","        572.80","        578.05","        579.50","        552.10","        555.00","        554.65","        566.05","    5020576","          2841879590.55","      71901","    1072671","         21.37"
"TATASTEEL","E1","19-Oct-2018","        105.95","        104.90","        109.00","         97.50","        102.70","        101.80","        103.29","     552761","            57092912.65","       4277","     151100","         27.34"
"TATASTEEL","EQ","19-Oct-2018","        554.65","        553.00","        562.60","        545.00","        557.20","        554.95","        555.07","    7718196","          4284148301.80","     103398","    1918577","         24.86"
"TATASTEEL","E1","22-Oct-2018","        101.80","        104.80","        106.00","         99.60","        100.80","        100.45","        102.24","     401361","            41033950.45","       2898","     124973","         31.14"
"TATASTEEL","EQ","22-Oct-2018","        554.95","        559.00","        561.20","        541.55","        545.00","        544.75","        548.89","    5101951","          2800429555.85","      77825","     879231","         17.23"
"TATASTEEL","E1","23-Oct-2018","        100.45","         98.10","        103.25","         97.10","        103.25","        101.70","         99.89","     316285","            31594212.55","       2729","      93199","         29.47"
"TATASTEEL","EQ","23-Oct-2018","        544.75","        540.00","        550.00","        535.15","        550.00","        545.60","        541.92","    4634688","          2511637930.35","      63112","     411563","          8.88"
"TATASTEEL","E1","24-Oct-2018","        101.70","        105.10","        105.70","         91.65","         97.00","         97.70","         97.68","     689058","            67307836.95","       4460","     377155","         54.73"
"TATASTEEL","EQ","24-Oct-2018","        545.60","        552.00","        554.60","        541.40","        549.00","        550.05","        547.68","    4219617","          2311018676.20","      59000","     640391","         15.18"
"TATASTEEL","E1","25-Oct-2018","         97.70","         95.00","         97.25","         90.20","         96.50","         95.50","         93.46","     578571","            54072743.00","       4052","     241552","         41.75"
